일자,평균내재변동성_전체,평균내재변동성_CALL,평균내재변동성_PUT,역사적변동성_10일,역사적변동성_20일,역사적변동성_30일,역사적변동성_60일,역사적변동성_90일,역사적변동성_120일,역사적변동성_150일,역사적변동성_180일
"2008/02/26","29.40","28.30","30.40","27.30","33.30","33.30","29.40","29.10","27.60","30.20","28.60"
"2008/02/25","29.60","28.70","31.60","27.30","33.90","33.50","29.50","29.20","27.70","30.20","28.60"
"2008/02/22","30.40","29.10","32.10","33.10","33.80","33.30","29.30","29.10","27.60","30.10","28.50"
"2008/02/21","29.30","28.30","30.60","32.60","37.10","33.10","30.00","29.10","27.70","30.10","28.50"
"2008/02/20","31.30","29.30","32.40","36.30","38.20","33.30","30.00","29.00","27.80","30.10","28.40"
"2008/02/19","27.90","27.30","29.20","34.00","37.60","32.90","29.90","28.90","27.60","30.00","28.30"
"2008/02/18","28.80","28.10","29.40","34.70","37.60","32.60","29.80","28.80","28.50","30.00","28.30"
"2008/02/15","29.70","29.00","30.60","38.00","38.40","33.20","29.90","28.80","28.90","30.10","28.30"
"2008/02/14","29.90","28.60","32.90","38.00","38.50","33.20","30.30","29.30","30.40","30.20","28.30"
"2008/02/13","30.90","27.10","32.70","38.20","35.20","30.50","29.00","28.50","29.90","29.80","28.00"
"2008/02/12","31.10","28.20","34.40","39.60","35.80","30.50","29.70","28.50","30.00","29.80","28.00"
"2008/02/11","34.70","32.60","36.00","40.80","35.90","31.50","29.70","28.60","30.60","29.80","28.00"
"2008/02/05","23.50","22.90","25.30","35.20","34.20","30.80","29.60","28.00","30.20","29.40","27.60"
"2008/02/04","22.60","22.20","24.50","42.80","34.10","30.80","29.60","28.00","30.30","29.40","27.60"
"2008/02/01","25.30","24.20","27.70","41.10","31.70","29.10","29.00","28.10","29.90","29.10","27.40"
"2008/01/31","26.50","24.70","32.20","41.00","31.60","29.90","29.00","28.20","30.00","29.20","27.40"
"2008/01/30","31.90","35.60","31.20","39.90","30.10","29.10","28.80","28.00","29.90","29.00","27.20"
"2008/01/29","31.30","29.40","32.80","39.60","30.00","28.50","28.50","27.80","29.70","28.90","27.10"
"2008/01/28","35.10","29.30","36.00","38.50","29.30","28.10","28.40","27.90","30.20","28.90","27.10"
"2008/01/25","25.40","23.40","28.90","34.00","26.80","26.60","27.40","27.30","29.70","28.50","26.70"
"2008/01/24","30.80","28.80","32.50","32.60","25.30","25.90","27.40","27.20","29.60","28.40","26.60"
"2008/01/23","35.90","33.80","36.90","29.00","25.90","24.90","27.70","27.30","30.10","28.50","26.50"
"2008/01/22","46.30","40.60","47.50","28.20","26.90","24.70","28.00","27.20","30.20","28.50","26.50"
