product,score_type,lambda,score
ETF,mean_minus_lambda_lossprob,0.0,0.11468686663152053
ETF,mean_minus_lambda_lossprob,0.05,0.10018338231096303
ETF,mean_minus_lambda_lossprob,0.1,0.08567989799040554
ETF,mean_minus_lambda_lossprob,0.2,0.05667292934929056
ETF,mean_minus_lambda_downsideSemiVar,0.0,0.11468686663152053
ETF,mean_minus_lambda_downsideSemiVar,1.0,0.10682735537073687
ETF,mean_minus_lambda_downsideSemiVar,3.0,0.09110833284916954
ETF,mean_minus_lambda_downsideSemiVar,5.0,0.07538931032760222
Deposit,mean_minus_lambda_lossprob,0.0,0.015
Deposit,mean_minus_lambda_lossprob,0.05,0.015
Deposit,mean_minus_lambda_lossprob,0.1,0.015
Deposit,mean_minus_lambda_lossprob,0.2,0.015
Deposit,mean_minus_lambda_downsideSemiVar,0.0,0.015
Deposit,mean_minus_lambda_downsideSemiVar,1.0,0.015
Deposit,mean_minus_lambda_downsideSemiVar,3.0,0.015
Deposit,mean_minus_lambda_downsideSemiVar,5.0,0.015
ELD,mean_minus_lambda_lossprob,0.0,0.07263011970074346
ELD,mean_minus_lambda_lossprob,0.05,0.07263011970074346
ELD,mean_minus_lambda_lossprob,0.1,0.07263011970074346
ELD,mean_minus_lambda_lossprob,0.2,0.07263011970074346
ELD,mean_minus_lambda_downsideSemiVar,0.0,0.07263011970074346
ELD,mean_minus_lambda_downsideSemiVar,1.0,0.07263011970074346
ELD,mean_minus_lambda_downsideSemiVar,3.0,0.07263011970074346
ELD,mean_minus_lambda_downsideSemiVar,5.0,0.07263011970074346
