,fold,model,train_start,train_end,test_start,test_end,n_train,n_test,train_event_rate,test_event_rate,auc,brier,logloss
0,1,kmeans_hard,2001-01-15,2008-12-30,2009-01-02,2009-12-30,1966,253,0.10579857578840285,0.0,,0.01668397852290614,0.13280419603548393
1,1,hmm_hard,2001-01-15,2008-12-30,2009-01-02,2009-12-30,1966,253,0.10579857578840285,0.0,,0.014700994614923092,0.12151634793219669
2,1,hmm_soft,2001-01-15,2008-12-30,2009-01-02,2009-12-30,1966,253,0.10579857578840285,0.0,,0.01466793932784347,0.12134254890981114
3,2,kmeans_hard,2001-01-15,2009-12-30,2010-01-04,2010-12-30,2219,251,0.09373591707976565,0.0,,0.005256202149973604,0.07438967749663579
4,2,hmm_hard,2001-01-15,2009-12-30,2010-01-04,2010-12-30,2219,251,0.09373591707976565,0.0,,0.001456268502863038,0.03845986215545037
5,2,hmm_soft,2001-01-15,2009-12-30,2010-01-04,2010-12-30,2219,251,0.09373591707976565,0.0,,0.0014567602086919807,0.03846636933608598
6,3,kmeans_hard,2001-01-15,2010-12-30,2011-01-03,2011-12-29,2470,247,0.08421052631578947,0.08502024291497975,0.3018331226295828,0.08321960887593918,0.326291974144831
7,3,hmm_hard,2001-01-15,2010-12-30,2011-01-03,2011-12-29,2470,247,0.08421052631578947,0.08502024291497975,0.27212389380530977,0.08858945902089474,0.3824445092423764
8,3,hmm_soft,2001-01-15,2010-12-30,2011-01-03,2011-12-29,2470,247,0.08421052631578947,0.08502024291497975,0.3190054782975137,0.08856006361081396,0.3823779324281749
9,4,kmeans_hard,2001-01-15,2011-12-29,2012-01-02,2012-12-28,2717,248,0.08428413691571586,0.0,,0.004651473130642628,0.06945946170137653
10,4,hmm_hard,2001-01-15,2011-12-29,2012-01-02,2012-12-28,2717,248,0.08428413691571586,0.0,,0.0056219899997618445,0.07332919692028211
11,4,hmm_soft,2001-01-15,2011-12-29,2012-01-02,2012-12-28,2717,248,0.08428413691571586,0.0,,0.00564635943555747,0.0736297449239528
